QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,COUNTRY,DEALSIZE
30,95.7,2,2871.0,2003-02-24,2,2003,Motorcycles,95,0,Land of Toys Inc.,USA,Small
34,81.35,5,2765.9,2003-05-07,5,2003,Motorcycles,95,0,Reims Collectables,France,Small
41,94.74,2,3884.34,2003-07-01,7,2003,Motorcycles,95,0,Lyon Souveniers,France,Medium
45,83.26,6,3746.7,2003-08-25,8,2003,Motorcycles,95,0,Toys4GrownUps.com,USA,Medium
49,100.0,14,5205.27,2003-10-10,10,2003,Motorcycles,95,0,Corporate Gift Ideas Co.,USA,Medium
36,96.66,1,3479.76,2003-10-28,10,2003,Motorcycles,95,0,Technics Stores Inc.,USA,Medium
29,86.13,9,2497.77,2003-11-11,11,2003,Motorcycles,95,0,Daedalus Designs Imports,France,Small
48,100.0,1,5512.32,2003-11-18,11,2003,Motorcycles,95,0,Herkku Gifts,Norway,Medium
22,98.57,2,2168.54,2003-12-01,12,2003,Motorcycles,95,0,Mini Wheels Co.,USA,Small
41,100.0,14,4708.44,2004-01-15,1,2004,Motorcycles,95,0,Auto Canal Petit,France,Medium
37,100.0,1,3965.66,2004-02-20,2,2004,Motorcycles,95,0,"Australian Collectors, Co.",Australia,Medium
23,100.0,7,2333.12,2004-04-05,4,2004,Motorcycles,95,0,Vitachrome Inc.,USA,Small
28,100.0,2,3188.64,2004-05-18,5,2004,Motorcycles,95,0,Tekni Collectables Inc.,USA,Medium
34,100.0,2,3676.76,2004-06-28,6,2004,Motorcycles,95,0,Gift Depot Inc.,USA,Medium
45,92.83,1,4177.35,2004-07-23,7,2004,Motorcycles,95,0,La Rochelle Gifts,France,Medium
36,100.0,6,4099.68,2004-08-27,8,2004,Motorcycles,95,0,Marta's Replicas Co.,USA,Medium
23,100.0,9,2597.39,2004-09-30,9,2004,Motorcycles,95,0,"Toys of Finland, Co.",Finland,Small
41,100.0,5,4394.38,2004-10-15,10,2004,Motorcycles,95,0,Baane Mini Imports,Norway,Medium
46,94.74,1,4358.04,2004-11-02,11,2004,Motorcycles,95,0,Diecast Classics Inc.,USA,Medium
42,100.0,1,4396.14,2004-11-15,11,2004,Motorcycles,95,0,Land of Toys Inc.,USA,Medium
41,100.0,9,7737.93,2004-11-24,11,2004,Motorcycles,95,0,Salzburg Collectables,Austria,Large
20,72.55,13,1451.0,2004-12-17,12,2004,Motorcycles,95,0,Souveniers And Things Co.,Australia,Small
21,34.91,12,733.11,2005-02-03,2,2005,Motorcycles,95,0,La Rochelle Gifts,France,Small
42,76.36,4,3207.12,2005-03-03,3,2005,Motorcycles,95,0,FunGiftIdeas.com,USA,Medium
24,100.0,7,2434.56,2005-04-08,4,2005,Motorcycles,95,0,"UK Collectables, Ltd.",UK,Small
66,100.0,2,7516.08,2005-05-13,5,2005,Motorcycles,95,0,Euro Shopping Channel,Spain,Large
26,100.0,11,5404.62,2003-01-29,1,2003,Classic Cars,214,1,Baane Mini Imports,Norway,Medium
29,100.0,1,7209.11,2003-03-24,3,2003,Classic Cars,214,1,"Volvo Model Replicas, Co",Sweden,Large
38,100.0,11,7329.06,2003-05-28,5,2003,Classic Cars,214,1,"Corrida Auto Replicas, Ltd",Spain,Large
37,100.0,11,7374.1,2003-07-24,7,2003,Classic Cars,214,1,Technics Stores Inc.,USA,Large
45,100.0,8,10993.5,2003-09-19,9,2003,Classic Cars,214,1,"Dragon Souveniers, Ltd.",Singapore,Large
21,100.0,1,4860.24,2003-10-20,10,2003,Classic Cars,214,1,Classic Legends Inc.,USA,Medium
34,100.0,4,8014.82,2003-11-06,11,2003,Classic Cars,214,1,"Australian Gift Network, Co",Australia,Large
23,100.0,8,5372.57,2003-11-13,11,2003,Classic Cars,214,1,"Classic Gift Ideas, Inc",USA,Medium
42,100.0,11,7290.36,2003-11-25,11,2003,Classic Cars,214,1,"Saveley & Henriot, Co.",France,Large
47,100.0,6,9064.89,2003-12-05,12,2003,Classic Cars,214,1,Canadian Gift Exchange Network,Canada,Large
35,100.0,3,6075.3,2004-01-29,1,2004,Classic Cars,214,1,West Coast Collectables Co.,USA,Medium
29,100.0,2,6463.23,2004-03-10,3,2004,Classic Cars,214,1,Cambridge Collectables Co.,USA,Medium
34,100.0,9,6120.34,2004-05-04,5,2004,Classic Cars,214,1,Super Scale Inc.,USA,Medium
32,100.0,6,7680.64,2004-06-15,6,2004,Classic Cars,214,1,"Tokyo Collectables, Ltd",Japan,Large
21,100.0,9,4905.39,2004-07-19,7,2004,Classic Cars,214,1,Souveniers And Things Co.,Australia,Medium
34,100.0,2,8014.82,2004-08-17,8,2004,Classic Cars,214,1,Amica Models & Co.,Italy,Large
37,100.0,11,7136.19,2004-09-08,9,2004,Classic Cars,214,1,Scandinavian Gift Ideas,Sweden,Large
47,100.0,6,10172.7,2004-10-11,10,2004,Classic Cars,214,1,Auto Assoc. & Cie.,France,Large
48,100.0,3,11623.7,2004-10-21,10,2004,Classic Cars,214,1,Mini Gifts Distributors Ltd.,USA,Large
40,100.0,1,6000.4,2004-11-04,11,2004,Classic Cars,214,1,Online Diecast Creations Co.,USA,Medium
26,100.0,3,3003.0,2004-11-18,11,2004,Classic Cars,214,1,Mini Wheels Co.,USA,Medium
30,100.0,1,3944.7,2004-11-29,11,2004,Classic Cars,214,1,"Australian Collectors, Co.",Australia,Medium
32,100.0,10,5691.84,2004-12-10,12,2004,Classic Cars,214,1,Mini Gifts Distributors Ltd.,USA,Medium
41,100.0,2,4514.92,2005-01-20,1,2005,Classic Cars,214,1,Collectables For Less Inc.,USA,Medium
36,100.0,3,8254.8,2005-02-17,2,2005,Classic Cars,214,1,Corporate Gift Ideas Co.,USA,Large
24,100.0,4,2416.56,2005-03-09,3,2005,Classic Cars,214,1,"Anna's Decorations, Ltd",Australia,Small
23,100.0,9,4140.23,2005-05-01,5,2005,Classic Cars,214,1,Quebec Home Shopping Network,Canada,Medium
50,100.0,6,12001.0,2005-05-31,5,2005,Classic Cars,214,1,Euro Shopping Channel,Spain,Large
39,99.91,5,3896.49,2003-02-24,2,2003,Motorcycles,118,2,Land of Toys Inc.,USA,Medium
29,96.34,3,2793.86,2003-04-29,4,2003,Motorcycles,118,2,"Australian Collectors, Co.",Australia,Small
